Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,275.130005,297.269989,270.820007,289.220001,284.537262,22167900
2020-02-10,286.230011,305.899994,285.450012,298.779999,293.942444,18892600
2020-02-17,299.670013,306.709991,297.890015,301.429993,296.549561,12135400
2020-02-24,286.890015,288.989990,245.300003,254.960007,250.831955,41336700
2020-03-02,257.339996,295.839996,250.320007,283.869995,279.273895,43857700
2020-03-09,264.459991,285.239990,242.270004,272.040009,267.635468,42986300
2020-03-16,243.919998,248.759995,200.190002,206.589996,204.125504,50292500
2020-03-23,202.039993,257.959991,187.720001,242.449997,239.557709,41960000
2020-03-30,242.639999,254.529999,226.029999,229.490005,226.752335,24614900
2020-04-06,240.000000,270.399994,235.119995,264.130005,260.979095,22665700
2020-04-13,262.059998,304.000000,258.179993,290.559998,287.093781,29182000
2020-04-20,285.299988,291.899994,273.250000,291.290009,287.815094,19398900
2020-04-27,293.209991,298.250000,279.600006,284.510010,281.115967,22985300
2020-05-04,284.489990,297.679993,282.109985,287.000000,283.576233,14337000
2020-05-11,285.559998,300.000000,275.559998,290.959991,287.488983,31066500
2020-05-18,298.480011,299.720001,284.790009,289.940002,286.481201,16805000
2020-05-25,296.500000,309.660004,290.799988,304.850006,301.213318,20827400
2020-06-01,304.019989,314.279999,294.290009,311.850006,308.129822,19939400
2020-06-08,308.640015,315.839996,278.700012,285.149994,281.748322,23048200
2020-06-15,278.019989,297.570007,273.709991,291.239990,287.765656,19377400
2020-06-22,289.790009,299.279999,285.570007,286.880005,284.678497,17753100
2020-06-29,288.450012,303.079987,286.619995,298.260010,295.971191,9565100
2020-07-06,303.000000,303.559998,287.100006,291.230011,288.995117,11911400
2020-07-13,292.089996,310.970001,291.769989,306.529999,304.177704,20476100
2020-07-20,306.790009,308.600006,299.230011,300.790009,298.481781,11436300
2020-07-27,298.429993,309.750000,297.209991,302.779999,300.456482,13109400
2020-08-03,303.589996,319.000000,299.200012,317.029999,314.597137,15143500
2020-08-10,317.000000,324.570007,314.660004,323.700012,321.215973,12445000
2020-08-17,321.450012,323.799988,310.089996,314.140015,311.729340,12093300
2020-08-24,316.809998,316.899994,303.609985,314.369995,311.957550,13184900
2020-08-31,314.890015,323.820007,306.630005,312.000000,309.605743,16448700
2020-09-07,311.029999,315.320007,297.290009,301.480011,299.166473,10297200
2020-09-14,303.010010,312.250000,302.109985,308.019989,306.915771,12891500
2020-09-21,300.470001,303.269989,289.640015,302.500000,301.415558,16323100
2020-09-28,306.390015,317.390015,300.679993,311.980011,310.861572,12940000
2020-10-05,315.070007,328.170013,313.119995,327.839996,326.664703,10755200
2020-10-12,329.119995,333.700012,316.329987,329.899994,328.717316,16058600
2020-10-19,328.540009,335.649994,322.059998,330.600006,329.414825,11059800
2020-10-26,326.320007,327.750000,299.600006,305.140015,304.046112,14973600
2020-11-02,312.640015,360.980011,307.359985,347.459991,346.214386,26689200
2020-11-09,366.309998,367.950012,348.170013,355.670013,354.394958,15766100
2020-11-16,358.950012,359.579987,331.709991,334.700012,333.500153,15707800
2020-11-23,335.549988,340.000000,329.140015,337.940002,336.728516,10999100
2020-11-30,335.109985,354.100006,330.290009,349.890015,348.635681,19372000
2020-12-07,348.720001,349.899994,334.329987,337.070007,337.070007,14039600
2020-12-14,340.029999,343.230011,335.859985,336.130005,336.130005,2478300
